days_since_infection,median,lower_95,upper_95
47,0.005490926,0.002135804,0.013112182
47.1,0.005296153,0.002049578,0.01270748
47.2,0.005108401,0.001967515,0.012319112
47.3,0.00492661,0.00188761,0.011939937
47.4,0.0047494,0.001810691,0.011570421
47.5,0.004579657,0.001736851,0.011209806
47.6,0.004415466,0.001665674,0.010855995
47.7,0.004256174,0.001596814,0.01051538
47.8,0.004103188,0.001530885,0.010182209
47.9,0.0039549,0.001467282,0.009859496
48,0.0038115,0.001406662,0.009546117
48.1,0.003673251,0.001348416,0.009245465
48.2,0.003538995,0.001292629,0.008953418
48.3,0.003410404,0.001239532,0.008671536
48.4,0.003285731,0.001188103,0.008395977
48.5,0.003164635,0.001138698,0.008131051
48.6,0.003048174,0.001091468,0.00787298
48.7,0.002935683,0.001045804,0.007620036
48.8,0.002827248,0.001001647,0.007373687
48.9,0.002722979,0.000959337,0.007135622
49,0.00262207,0.000919295,0.006904878
49.1,0.002524567,0.000880686,0.006679776
49.2,0.00242983,0.000843493,0.006460882
49.3,0.002339422,0.000807858,0.006250625
49.4,0.002251772,0.000773483,0.006049789
49.5,0.002167321,0.000740828,0.005854948
49.6,0.002085799,0.000709318,0.005664742
49.7,0.00200744,0.000678972,0.005481777
49.8,0.001931497,0.000649929,0.005302298
49.9,0.00185879,0.000621797,0.00512617
50,0.001788294,0.000594815,0.004960268
