"variable","mean","median","sd","lower","upper","rhat","ess_bulk"
"a_raw[26]",0.0708008878444444,0.0641287,0.808895786762539,-1.5004405,1.696493,1.01170150379632,554.802477386418
"a_raw[27]",-0.4432019045,-0.4424175,0.880311076898541,-2.151631,1.28063825,1.0015712818845,487.838843048215
"a_raw[28]",-0.886441829548889,-0.8776485,0.876013247978077,-2.685594,0.823877425,1.00709945326433,502.399393371189
"a_raw[29]",-1.36625773042222,-1.396645,0.811320124613466,-2.871378,0.193508,1.00261744809623,562.818736263636
"a_raw[30]",-0.571859642277778,-0.564931,0.796849656359047,-2.20537775,0.9341808,1.00959771793279,316.382829396748
"a_raw[31]",1.32050869100889,1.3104,0.567195803504718,0.233396175,2.40667125,1.0068982799646,321.499960941502
"a_raw[32]",-0.305318520877778,-0.2773665,0.678261259809431,-1.61212525,1.0042955,1.01372634499176,278.090757620965
"a_raw[33]",0.422597307757778,0.438489,0.72292121620306,-1.012443625,1.8131445,1.00393988285843,451.429740992666
"a_raw[34]",0.0844270518488889,0.08296065,0.780227033024265,-1.4718285,1.60904875,1.0025864396762,437.24502458034
"a_raw[35]",-0.313964946283111,-0.3497015,0.861942029323406,-1.970426,1.385209,1.0009478373522,523.26529383215
"a_raw[36]",-0.564203977955556,-0.5516325,0.800879363142089,-2.10699575,0.94403545,1.00129029637775,618.847192788148
"a_raw[37]",-0.4613302913,-0.470392,0.738378381638252,-1.83577025,1.01263175,1.00235514821399,469.909300970729
"a_raw[38]",0.6980608693,0.709557,0.613143389938867,-0.5956812,1.9098565,1.00260764748262,308.903407825822
"a_raw[39]",0.20283415074,0.130026,0.712448694940555,-1.1413345,1.7451635,1.01706476664451,199.006593540171
"a_raw[40]",0.820456936405556,0.789336,0.664042315248733,-0.392593675,2.20682825,1.00710036392534,332.007611818028
"a_raw[41]",0.775168658204444,0.8053545,0.66995337423778,-0.60222235,1.99825475,1.00319860924115,396.353178198357
"a_raw[42]",-0.339073887416667,-0.3418305,0.789239642359782,-1.851842,1.34587575,1.00490728898543,152.999689571636
"a_raw[43]",0.772784225511111,0.81284,0.68583200787418,-0.6849735,2.007404,1.00892248052027,157.778946953171
"a_raw[44]",-1.69600892533333,-1.67862,0.51940234639795,-2.7249885,-0.732469225,1.00707409142445,195.673035689791
"a_raw[45]",0.246951293456667,0.2575175,0.577865820410497,-0.918972925,1.36553375,1.01740286746893,111.572021624493
"a_raw[46]",-0.280500563222222,-0.2802805,0.682303076994944,-1.5209655,1.03012975,1.0071640789954,227.504277868463
"a_raw[47]",-0.333833866315556,-0.316573,1.0411702216799,-2.45627925,1.65203625,1.00102419889907,701.427617700824
"a_raw[48]",0.0784418319444444,0.06817705,0.999875441450419,-1.83225775,1.9439825,1.00769572152678,701.527728083819
"a_raw[49]",-0.0144875243888889,0.01284385,0.996839158744149,-1.8807445,1.95458675,1.00378848174318,594.021027439291
"a_raw[50]",0.0221124181888889,0.0338046,0.977670442388119,-1.9329515,1.815892,1.00317687904362,647.605855067013
"sigma",0.223352676666667,0.208526,0.0661830464383001,0.139026325,0.390096825,1.05667887100769,58.6545798481355
"a[1]",-4.38299116288889,-4.430435,1.41275070553447,-7.08503525,-1.37881325,1.01978593601426,279.229983972777
"a[2]",-4.49515927777778,-4.526405,1.00120172899436,-6.40475575,-2.418441,1.01613394494372,280.013808725891
"a[3]",-4.60960716666667,-4.627005,0.642777198300494,-5.86086,-3.276798,1.01407591407001,318.200677162484
