"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t"
"a",-4.2357074,-4.237695,0.0517688180432713,-4.3428745,-4.138784,1.00006200856772,1023.77399549493,52
"a",-4.27157376666667,-4.273515,0.0526408393201338,-4.37356275,-4.1679575,0.999795104954289,927.154217269146,53
"a",-4.30563821111111,-4.30555,0.0533826035414863,-4.4130265,-4.19992175,1.00005520796791,878.202359824657,54
"a",-4.33721503333333,-4.337315,0.0549830660744636,-4.44957425,-4.235002,1.00050376163231,863.597598002971,55
"a",-4.36557755555556,-4.36645,0.0574785833832428,-4.4788255,-4.25463575,0.99971057555076,852.72553672331,56
"a",-4.38874481111111,-4.38992,0.0613464703058409,-4.5093635,-4.268347,0.999494786843937,892.662327347691,57
"a",-4.40673533333333,-4.40932,0.0663760023040613,-4.532635,-4.2763325,0.999915612792755,989.890892642848,58
"a",-4.42055038888889,-4.422065,0.0748145616782886,-4.56339125,-4.270106,1.0017697474577,1127.24522598044,59
"a",-4.43207331111111,-4.4318,0.0865680691281945,-4.600879,-4.26187675,1.00240106283364,1318.22990863221,60
"a",-4.4412867,-4.444495,0.0995105519767947,-4.63549075,-4.24470475,1.00170786439213,1510.52361734088,61
"a",-4.44900873333333,-4.450305,0.112917746825358,-4.6657755,-4.2300545,1.00261987522779,1633.18333260328,62
"a",-4.45493191111111,-4.457655,0.12453729611127,-4.68909425,-4.21131025,1.0000051372131,1694.1248203452,63
"a",-4.45843984444444,-4.46422,0.135288856386953,-4.70421725,-4.1930655,0.999407959541817,1766.10966095775,64
"a",-4.46043158888889,-4.46536,0.144797275410194,-4.7249945,-4.185679,0.998522389671387,1777.78218769582,65
"a",-4.46047526666667,-4.465165,0.152743929044281,-4.7426625,-4.16316725,0.997926759191958,1692.98214262412,66
"a",-4.45959985555556,-4.462505,0.159029965368397,-4.74371725,-4.135803,0.998259491789913,1654.07778798633,67
"a",-4.4574956,-4.463315,0.16386660019403,-4.7494045,-4.12821175,0.999242009095612,1648.23203975896,68
"a",-4.45444612222222,-4.460665,0.167667848902798,-4.768078,-4.12554025,0.998933588228257,1635.83611022384,69
"a",-4.4505094,-4.45412,0.168539222195687,-4.77114025,-4.11307375,0.998468357126981,1632.02827371663,70
"a",-4.44592966666667,-4.447835,0.166081246399685,-4.7642845,-4.1088265,0.999285977639398,1617.65656047171,71
"a",-4.44144716666667,-4.440325,0.162797449754532,-4.74092425,-4.1121385,0.998913419237153,1568.70926574774,72
"a",-4.43648194444444,-4.43887,0.157487143155513,-4.73242425,-4.11256875,0.998814737209869,1393.10004810847,73
"a",-4.43160565555556,-4.42983,0.150129076722483,-4.71482925,-4.12452025,1.00058981219268,1251.67685762014,74
"a",-4.4276012,-4.4272,0.140795584148003,-4.693142,-4.1424405,0.999805466281046,1141.43586122831,75
"a",-4.42463557777778,-4.425295,0.129490306573702,-4.67394725,-4.1560455,1.00082511018718,1107.50038169539,76
"a",-4.42316838888889,-4.4259,0.117373860399954,-4.6443135,-4.1752155,1.00073668561598,1043.32980793482,77
