"t","mean","lower","upper","variable","model","params","iter","confignum"
93,0.00229182807159569,-0.000578772515158988,0.00531524923060744,"Obs positivity","weighted","estimated",2,22
94,0.00236717857837878,-0.000554131971432108,0.00544449270022753,"Obs positivity","weighted","estimated",2,22
95,0.0024453594614932,-0.000517147546564331,0.00557991948035296,"Obs positivity","weighted","estimated",2,22
96,0.00251683377969718,-0.000494246634569904,0.0057254752614327,"Obs positivity","weighted","estimated",2,22
97,0.00259319981769856,-0.000469603846208137,0.00590273562703548,"Obs positivity","weighted","estimated",2,22
98,0.00267430856735384,-0.000449049440355698,0.00611218279193274,"Obs positivity","weighted","estimated",2,22
99,0.00276116582142965,-0.000429692697313273,0.00639822379927943,"Obs positivity","weighted","estimated",2,22
100,0.00285975610740907,-0.000405118723894433,0.0067770137720904,"Obs positivity","weighted","estimated",2,22
1,0.0143267308628142,-0.0710140451682216,0.0958060045772595,"rt","binomial","estimated",3,22
2,0.0144296468667652,-0.0662365313190876,0.0896187512357765,"rt","binomial","estimated",3,22
3,0.0150439943741881,-0.0567442699501288,0.0855788684668236,"rt","binomial","estimated",3,22
4,0.0168640823428439,-0.0468405061078032,0.0806622112454076,"rt","binomial","estimated",3,22
5,0.0195430293826749,-0.0363962282615218,0.0770377829536756,"rt","binomial","estimated",3,22
6,0.0225157383327368,-0.0298575603417689,0.076056114143201,"rt","binomial","estimated",3,22
7,0.0255004524876789,-0.0209324625980939,0.0731999842529,"rt","binomial","estimated",3,22
8,0.0292676108016342,-0.013849720618959,0.0739188155456759,"rt","binomial","estimated",3,22
9,0.0316240562593559,-0.00818214904165136,0.0744974367517012,"rt","binomial","estimated",3,22
10,0.0325118204236534,-0.00695397709836343,0.0726650867565192,"rt","binomial","estimated",3,22
11,0.0329160951483515,-0.0047401393559377,0.0716515183257122,"rt","binomial","estimated",3,22
12,0.0334919501966328,-0.00456192655596371,0.0711297469949642,"rt","binomial","estimated",3,22
13,0.0339983150504655,-0.00415650643144407,0.0724726727989336,"rt","binomial","estimated",3,22
14,0.0341213367787631,-0.00318468455520019,0.0713153349282184,"rt","binomial","estimated",3,22
15,0.0350176395227866,-0.0016415614598744,0.0725720357955651,"rt","binomial","estimated",3,22
16,0.0370683334391032,0.000973929699057184,0.0730362610372246,"rt","binomial","estimated",3,22
17,0.0396011640919695,0.00424425841226404,0.0755236063664851,"rt","binomial","estimated",3,22
18,0.0421735731246999,0.00569511956082237,0.079958019596751,"rt","binomial","estimated",3,22
19,0.044409079571967,0.00805911192080922,0.0821921030015985,"rt","binomial","estimated",3,22
20,0.0462945591515223,0.0114754116272234,0.0844236414027051,"rt","binomial","estimated",3,22
21,0.0468232495899131,0.0125808230175521,0.0848925696745581,"rt","binomial","estimated",3,22
22,0.0453356511736308,0.00990426742089751,0.0829900503716006,"rt","binomial","estimated",3,22
23,0.0427259252811466,0.0068677929510763,0.0787859630663979,"rt","binomial","estimated",3,22
24,0.0389783728592047,0.00383137691111297,0.0751978657587586,"rt","binomial","estimated",3,22
25,0.0346559941103128,-0.00276256620671224,0.0686720107085084,"rt","binomial","estimated",3,22
26,0.0321185695890064,-0.00552258107657277,0.0663500187611559,"rt","binomial","estimated",3,22
27,0.0314953174103654,-0.0062323303155323,0.0647906118321909,"rt","binomial","estimated",3,22
28,0.0329134191601732,-0.00444246375541722,0.0672870402577627,"rt","binomial","estimated",3,22
29,0.0357265852465607,-0.00295960421240881,0.0695206100070082,"rt","binomial","estimated",3,22
30,0.0394509778869704,0.00260099192829277,0.0724171071887457,"rt","binomial","estimated",3,22
31,0.0442451112871782,0.00769633692220933,0.0773859728992685,"rt","binomial","estimated",3,22
