obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,iter,confignum
betabinom,96,0.049217829444221255,0.04849083267803525,100000,5183,0.05183,1.0e-5,4,30
betabinom,97,0.024527879254354467,0.04969491641129832,100000,4662,0.04662,1.0e-5,4,30
betabinom,98,0.010693330589644489,0.050229171975913714,100000,4760,0.0476,1.0e-5,4,30
betabinom,99,0.02685885797691867,0.05159655109196532,100000,4854,0.04854,1.0e-5,4,30
betabinom,100,0.02890383567753009,0.053109651184963295,100000,4648,0.04648,1.0e-5,4,30
betabinom,1,-0.006189628456351013,0.009938294878326188,100000,696,0.00696,1.0e-5,5,30
betabinom,2,-0.0060996107112701895,0.009877859651488598,100000,755,0.00755,1.0e-5,5,30
betabinom,3,-0.01709263625407752,0.009710455752158433,100000,636,0.00636,1.0e-5,5,30
betabinom,4,-0.015324929829494193,0.009562778163689448,100000,781,0.00781,1.0e-5,5,30
betabinom,5,-0.018266302636977143,0.00938968724201548,100000,775,0.00775,1.0e-5,5,30
betabinom,6,-0.02483336797256258,0.00915938115708226,100000,865,0.00865,1.0e-5,5,30
betabinom,7,-0.007699471690507068,0.009089129558312183,100000,916,0.00916,1.0e-5,5,30
betabinom,8,0.009196289167121327,0.009173101344619766,100000,821,0.00821,1.0e-5,5,30
betabinom,9,0.02817892168758443,0.009435265858241067,100000,795,0.00795,1.0e-5,5,30
betabinom,10,0.0188339199344821,0.009614652877759956,100000,720,0.0072,1.0e-5,5,30
betabinom,11,0.0315914552650835,0.009923242486996987,100000,1236,0.01236,1.0e-5,5,30
betabinom,12,0.021147236472807276,0.01013532623129846,100000,883,0.00883,1.0e-5,5,30
betabinom,13,0.020207710852934078,0.010342221371315375,100000,1117,0.01117,1.0e-5,5,30
betabinom,14,0.011839821117627058,0.010465399185017796,100000,1046,0.01046,1.0e-5,5,30
betabinom,15,0.013867063755082704,0.01061153443439427,100000,1269,0.01269,1.0e-5,5,30
betabinom,16,0.04732261543752352,0.011125771557527187,100000,876,0.00876,1.0e-5,5,30
betabinom,17,0.04895187872278072,0.011683949447301036,100000,1354,0.01354,1.0e-5,5,30
betabinom,18,0.026893659288550975,0.012002437055711457,100000,1068,0.01068,1.0e-5,5,30
betabinom,19,0.020070313532196505,0.012245763380430567,100000,1184,0.01184,1.0e-5,5,30
betabinom,20,0.03177812928080648,0.012641160041685275,100000,1225,0.01225,1.0e-5,5,30
betabinom,21,0.02476511277161871,0.012958128475335565,100000,1336,0.01336,1.0e-5,5,30
betabinom,22,0.014139020824612446,0.013142645091926378,100000,1287,0.01287,1.0e-5,5,30
betabinom,23,0.0191211144693543,0.013396365087382083,100000,1053,0.01053,1.0e-5,5,30
betabinom,24,0.0446259355497737,0.014007730328833233,100000,1546,0.01546,1.0e-5,5,30
betabinom,25,0.04954951692449497,0.014719289735868897,100000,1542,0.01542,1.0e-5,5,30
betabinom,26,0.035266267926877946,0.01524764596860919,100000,1696,0.01696,1.0e-5,5,30
betabinom,27,0.0056640126920488,0.015334253871490662,100000,1642,0.01642,1.0e-5,5,30
betabinom,28,0.014171847844744134,0.015553115759830996,100000,1817,0.01817,1.0e-5,5,30
betabinom,29,-0.001960439332168204,0.015522654688255042,100000,1629,0.01629,1.0e-5,5,30
betabinom,30,-0.010239365528157612,0.015364523515969472,100000,1397,0.01397,1.0e-5,5,30
betabinom,31,-0.0007862840423848629,0.01535244738456689,100000,1788,0.01788,1.0e-5,5,30
betabinom,32,-0.0039669425996220024,0.01529166574537367,100000,1610,0.0161,1.0e-5,5,30
betabinom,33,0.0007346236658236577,0.01530290349217207,100000,1723,0.01723,1.0e-5,5,30
betabinom,34,-0.010076650220232446,0.015149475803143141,100000,1692,0.01692,1.0e-5,5,30
betabinom,35,-0.026827616800516315,0.014748454742886616,100000,1283,0.01283,1.0e-5,5,30
betabinom,36,-0.005735032910391992,0.01466411394934024,100000,1424,0.01424,1.0e-5,5,30
betabinom,37,-0.010214398841921116,0.014515091225243637,100000,1051,0.01051,1.0e-5,5,30
betabinom,38,-0.019064483503362394,0.014240989612770599,100000,1377,0.01377,1.0e-5,5,30
betabinom,39,-0.03445679536716506,0.013758648435007022,100000,1373,0.01373,1.0e-5,5,30
betabinom,40,-0.0412881105544959,0.013202147330649953,100000,1287,0.01287,1.0e-5,5,30
betabinom,41,-0.02567701434470946,0.012867470739812257,100000,1183,0.01183,1.0e-5,5,30
betabinom,42,-0.003794021036995634,0.012818743779139807,100000,1227,0.01227,1.0e-5,5,30
betabinom,43,-0.0343664137633748,0.012385693342109106,100000,997,0.00997,1.0e-5,5,30
betabinom,44,-0.060216651184457674,0.011661879879649104,100000,1169,0.01169,1.0e-5,5,30
betabinom,45,-0.06986816509533272,0.010874898324953168,100000,1588,0.01588,1.0e-5,5,30
betabinom,46,-0.05313433041571049,0.01031215088060435,100000,892,0.00892,1.0e-5,5,30
betabinom,47,-0.06070439924144895,0.009704779516776833,100000,1005,0.01005,1.0e-5,5,30
betabinom,48,-0.03641702903430766,0.009357718107278454,100000,1033,0.01033,1.0e-5,5,30
betabinom,49,-0.04393081498911144,0.008955524942335343,100000,729,0.00729,1.0e-5,5,30
betabinom,50,-0.01956116240617866,0.008782046713998739,100000,882,0.00882,1.0e-5,5,30
betabinom,51,-0.02182271646257922,0.008592474611006663,100000,873,0.00873,1.0e-5,5,30
betabinom,52,-0.011876402414187703,0.008491030512639063,100000,832,0.00832,1.0e-5,5,30
betabinom,53,-0.02085372897557303,0.008315794377521878,100000,948,0.00948,1.0e-5,5,30
betabinom,54,-0.058096492166599484,0.00784644177054795,100000,619,0.00619,1.0e-5,5,30
betabinom,55,-0.04326644602700397,0.007514193549735047,100000,696,0.00696,1.0e-5,5,30
betabinom,56,-0.04361315208030772,0.0071935195145064286,100000,647,0.00647,1.0e-5,5,30
betabinom,57,-0.01733124126642636,0.007069921043483557,100000,526,0.00526,1.0e-5,5,30
betabinom,58,-0.03321888701072102,0.006838924107322277,100000,614,0.00614,1.0e-5,5,30
betabinom,59,-0.00589899413817415,0.006798700091362262,100000,571,0.00571,1.0e-5,5,30
betabinom,60,-0.019180379902059057,0.006669541060050091,100000,586,0.00586,1.0e-5,5,30
betabinom,61,-0.033307684087976144,0.006451052958624417,100000,619,0.00619,1.0e-5,5,30
betabinom,62,-0.04544139350239958,0.006164468826536515,100000,529,0.00529,1.0e-5,5,30
betabinom,63,-0.042192802346712355,0.005909783341101769,100000,517,0.00517,1.0e-5,5,30
betabinom,64,-0.05099967256194488,0.005615942895389992,100000,318,0.00318,1.0e-5,5,30
betabinom,65,-0.05457897716079304,0.005317644920966686,100000,642,0.00642,1.0e-5,5,30
betabinom,66,-0.051484107347023564,0.005050798825092238,100000,486,0.00486,1.0e-5,5,30
betabinom,67,-0.059535056109177434,0.004758875295446626,100000,508,0.00508,1.0e-5,5,30
betabinom,68,-0.040738249730839796,0.00456890288941825,100000,331,0.00331,1.0e-5,5,30
betabinom,69,-0.05977291998989217,0.004303807896430087,100000,497,0.00497,1.0e-5,5,30
betabinom,70,-0.045592343513893886,0.00411199307732036,100000,363,0.00363,1.0e-5,5,30
betabinom,71,-0.06691125852470947,0.0038458574657626032,100000,357,0.00357,1.0e-5,5,30
betabinom,72,-0.06700846759879629,0.003596596992337101,100000,401,0.00401,1.0e-5,5,30
betabinom,73,-0.04940660590419764,0.003423219602915874,100000,263,0.00263,1.0e-5,5,30
betabinom,74,-0.06253349858753941,0.003215709488328252,100000,265,0.00265,1.0e-5,5,30
betabinom,75,-0.030552856672826353,0.0031189461032307825,100000,489,0.00489,1.0e-5,5,30
betabinom,76,-0.044166808845174,0.0029841899858263827,100000,248,0.00248,1.0e-5,5,30
betabinom,77,-0.04711224190555299,0.0028468585027357713,100000,179,0.00179,1.0e-5,5,30
betabinom,78,-0.0355121056997872,0.0027475346010959133,100000,221,0.00221,1.0e-5,5,30
betabinom,79,-0.019483185657181424,0.0026945219786767673,100000,389,0.00389,1.0e-5,5,30
betabinom,80,0.0027964874116445312,0.002702067721340198,100000,176,0.00176,1.0e-5,5,30
betabinom,81,0.013457960000394842,0.0027386778368303885,100000,235,0.00235,1.0e-5,5,30
betabinom,82,0.021591684997783286,0.002798453512502214,100000,164,0.00164,1.0e-5,5,30
betabinom,83,0.0024532171324358164,0.002805327154424184,100000,446,0.00446,1.0e-5,5,30
betabinom,84,0.022353608474546385,0.0028687424793371083,100000,304,0.00304,1.0e-5,5,30
betabinom,85,0.030175526482847763,0.002956627615480899,100000,372,0.00372,1.0e-5,5,30
betabinom,86,0.02720617868188486,0.0030381703582949417,100000,211,0.00211,1.0e-5,5,30
betabinom,87,0.020374423428112288,0.0031007062304970797,100000,306,0.00306,1.0e-5,5,30
betabinom,88,0.0320107688012072,0.0032015679386599273,100000,247,0.00247,1.0e-5,5,30
betabinom,89,0.05217400279740568,0.0033730408720806164,100000,329,0.00329,1.0e-5,5,30
betabinom,90,0.05390673903230747,0.0035598606913862865,100000,334,0.00334,1.0e-5,5,30
betabinom,91,0.04238272021409913,0.0037139802034997895,100000,409,0.00409,1.0e-5,5,30
betabinom,92,0.030672610240856966,0.003829662744006402,100000,465,0.00465,1.0e-5,5,30
betabinom,93,0.042566776716728955,0.003996198441694107,100000,306,0.00306,1.0e-5,5,30
betabinom,94,0.05951767674638196,0.004241263399262226,100000,492,0.00492,1.0e-5,5,30
betabinom,95,0.08263689144783973,0.004606636991351286,100000,475,0.00475,1.0e-5,5,30
betabinom,96,0.0936935915274504,0.005059115569362757,100000,466,0.00466,1.0e-5,5,30
betabinom,97,0.10208285144752643,0.005602845147675073,100000,531,0.00531,1.0e-5,5,30
betabinom,98,0.09868290351987831,0.00618395128907648,100000,654,0.00654,1.0e-5,5,30
betabinom,99,0.08190463340838502,0.0067117657456861,100000,688,0.00688,1.0e-5,5,30
betabinom,100,0.0953055194241085,0.0073829079130165575,100000,769,0.00769,1.0e-5,5,30
