obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,theoreticalvar,iter,confignum
weighted,4,-0.019720609963753702,0.009498845658067464,10,0,0.0,0.12700030220773492,0.0014829554360810142,8,17
weighted,5,0.004059919797222915,0.009537488600149085,10,0,0.0,0.12222595519615907,0.0013042343207631838,8,17
weighted,6,0.01682273802786502,0.009699292448270606,10,0,0.0,0.14377393997319324,0.0018347561964533348,8,17
weighted,7,0.0029542456956661387,0.00972798890856321,10,0,0.0,0.17976372363166057,0.002414695081654388,8,17
weighted,8,0.024950401991513604,0.009973759429371235,10,0,0.0,0.12244097521607727,0.0013616026659435396,8,17
weighted,9,0.015771222348500983,0.010132304747460585,10,0,0.0,0.10496405999972971,0.0010950950260844028,8,17
weighted,10,0.06399825245145996,0.010801954196247063,10,1,0.1642725125103976,0.11721263545819838,0.0013482922863835823,8,17
weighted,11,0.07391805531447711,0.011630664680966957,10,0,0.0,0.12483598259852094,0.0017228001164713545,8,17
weighted,12,0.06682354750701403,0.012434422873020948,10,0,0.0,0.1442101119289517,0.0021265494677177783,8,17
weighted,13,0.05492964809040379,0.013136548571609341,10,1,0.12008709287161248,0.12208887373476732,0.0018269433972861729,8,17
weighted,14,0.05785934246672114,0.013919039557743807,10,0,0.0,0.11109499324855018,0.0016404942312091728,8,17
weighted,15,0.06092569684552186,0.014793432792894462,10,0,0.0,0.11550436633847191,0.001897857142223907,8,17
weighted,16,0.03927334564079656,0.015385979885693901,10,1,0.08915671807671655,0.11737623186159261,0.0020307031279491188,8,17
weighted,17,0.0694996018066406,0.016493334004185053,10,1,0.1261791754857872,0.11195048268013459,0.001906084059025893,8,17
weighted,18,0.07571415126069167,0.017790603964976493,10,0,0.0,0.11046043530553397,0.0020771416450948155,8,17
weighted,19,0.07686859343025736,0.019212076087714,10,0,0.0,0.13428663671207336,0.002985968548079572,8,17
weighted,20,0.07094925621079715,0.020624677596877777,10,0,0.0,0.11389167465339298,0.002480773255862868,8,17
weighted,21,0.07344969045580688,0.022196574848867105,10,0,0.0,0.10901251153443602,0.0025401510898422357,8,17
weighted,22,0.06625492610068819,0.023717019599873854,10,0,0.0,0.11097905224174179,0.0028213322643785535,8,17
weighted,23,0.060374577946728125,0.0251930331737373,10,0,0.0,0.11014761481750722,0.0029259632296605494,8,17
weighted,24,0.06308635346578104,0.026833573563706335,10,0,0.0,0.12352931201318251,0.003786401644556332,8,17
weighted,25,0.0500056230493916,0.028209518923076497,10,0,0.0,0.13099026355309615,0.0043380927412789445,8,17
weighted,26,0.07680832510004976,0.0304616281025923,10,0,0.0,0.12972879167862394,0.0043458578210281065,8,17
weighted,27,0.07352352293139562,0.032785663108453905,10,1,0.15216707712070898,0.13161653922252917,0.005042525479783249,8,17
weighted,28,0.11129543106822667,0.03664535755332296,10,0,0.0,0.10781573092597387,0.004019886883406115,8,17
weighted,29,0.10683193968395482,0.04077702011395724,10,1,0.1696350742861278,0.11518059359896077,0.004985650009095193,8,17
weighted,30,0.10915610593600723,0.04548009674914893,10,1,0.043161869468892174,0.12940169888588518,0.006650720090298434,8,17
weighted,31,0.11211081245433478,0.05087571046729683,10,1,0.13999705737582904,0.12075778906443485,0.006591515537565551,8,17
weighted,32,0.09946731538197934,0.05619641270589343,10,1,0.11229843441675878,0.11816637596673366,0.007206964471219767,8,17
weighted,33,0.08949837240311737,0.061457832940607825,10,0,0.0,0.11189437952248527,0.006989173118359268,8,17
weighted,34,0.08122940849948944,0.06665837565087053,10,1,0.20433625753553442,0.12712895796635668,0.00909620927796724,8,17
weighted,35,0.09439369290060434,0.07325704331968629,10,0,0.0,0.12152698862351857,0.009035029774982531,8,17
weighted,36,0.08691323625620256,0.07990893182455204,10,1,0.17090105612095371,0.11696198216843505,0.009553599594270889,8,17
weighted,37,0.090882610124507,0.08751150270334249,10,0,0.0,0.12770360246555162,0.01163873998514684,8,17
weighted,38,0.08856383530080846,0.09561541764495385,10,2,0.25136426212708984,0.1164940273038098,0.01121204296717284,8,17
weighted,39,0.09291416027020456,0.1049252550248936,10,0,0.0,0.13074325707461115,0.014592518809652778,8,17
weighted,40,0.08881212630631274,0.11467022108597001,10,1,0.23469829848765827,0.1254247075702704,0.014934153543358383,8,17
weighted,41,0.10559809210667749,0.1274416302958687,10,1,0.15944822054176597,0.12438878308489137,0.01523766151765485,8,17
weighted,42,0.07283098563750681,0.13706968468021996,10,2,0.17660069349827595,0.11679604241832145,0.014898422452338031,8,17
weighted,43,0.07509098196668772,0.1477586834476445,10,1,0.08590922966703339,0.11228681607233135,0.015073560378226469,8,17
weighted,44,0.08322085944711294,0.16058144915578287,10,0,0.0,0.12492441369164252,0.018754039094084116,8,17
weighted,45,0.09027722263975203,0.17575280801086618,10,3,0.4346517472170845,0.13157773703317155,0.02128329588292062,8,17
weighted,46,0.07481814173122052,0.18940671791830627,10,1,0.0538160401617251,0.17005213232475083,0.03212846586671745,8,17
weighted,47,0.050228425562821664,0.19916329679952768,10,0,0.0,0.12382855863662479,0.021366894004792806,8,17
weighted,48,0.02974104624249104,0.20517558431586716,10,1,0.2016163540834629,0.12948265361171593,0.022952333900214568,8,17
weighted,49,0.029418845990240968,0.21130127684118574,10,1,0.10865240825822899,0.1098806715624262,0.019049809281152623,8,17
weighted,50,-0.0029542594103014984,0.2106779592299696,10,2,0.17419175096313266,0.12486536978077532,0.022243843301889287,8,17
weighted,51,0.009636449368366795,0.21271796011335314,10,3,0.33421658813663124,0.11336641596664936,0.019903788732512768,8,17
weighted,52,-0.005868247310005617,0.21147333397481674,10,2,0.10981807391417464,0.1520358616388533,0.029184479528372078,8,17
weighted,53,0.008897497084397136,0.2133633129199587,10,2,0.24903684499955403,0.1169079238142255,0.020714516414626648,8,17
weighted,54,0.044448127316090366,0.223060834440981,10,0,0.0,0.14331334522346495,0.02730793754271439,8,17
weighted,55,0.017686424826192145,0.22704107750150904,10,2,0.300939164169326,0.12803380874055803,0.024108013143090377,8,17
weighted,56,0.007137741286017487,0.22866743532984268,10,1,0.1502324219628571,0.14453311477431874,0.028099135071101098,8,17
weighted,57,0.0056768839022127765,0.22996924542870514,10,2,0.16436670724745184,0.11490270269786217,0.021268461508735348,8,17
weighted,58,0.013802026551029564,0.23316529228582186,10,1,0.06683563421071896,0.12745285494549063,0.024367317958458336,8,17
weighted,59,0.006248646110312814,0.2346268212155374,10,4,0.5549803184362574,0.12590940316697294,0.024060151496648096,8,17
weighted,60,-0.018190454781019893,0.23039743647181676,10,3,0.3691413654914423,0.11735806710831875,0.021800408611600004,8,17
weighted,61,-0.003701408284865506,0.22954621781737586,10,2,0.20376247018744315,0.11232322651819428,0.020507267616644228,8,17
weighted,62,-0.013081869860771153,0.22656288043065692,10,1,0.3185848549610936,0.16752900780431987,0.0331872585633578,8,17
weighted,63,-0.03246363996661827,0.21932592910844725,10,3,0.3256819093632018,0.10564723451755936,0.01848341775003281,8,17
weighted,64,-0.024828735695087926,0.21394739103799013,10,4,0.5189761869103625,0.11739972710098957,0.020991295148253982,8,17
weighted,65,-0.034632440376369034,0.20666470722396518,10,0,0.0,0.11285823076949755,0.019290911444608868,8,17
weighted,66,-0.043211212648607354,0.197924668366176,10,2,0.22373456653072926,0.1293915974013654,0.022742867847709052,8,17
weighted,67,-0.03857025041230548,0.19043601237373817,10,1,0.12500813400577596,0.12453011742514555,0.020818561385354338,8,17
weighted,68,-0.05560267602204813,0.18013626082115658,10,2,0.30476672154240614,0.12087940728211286,0.01922346048128392,8,17
weighted,69,-0.06195700150960369,0.16931426893779025,10,1,0.23058735311489337,0.12614587571518474,0.019892569169286042,8,17
weighted,70,-0.03285682077129796,0.16384154091207717,10,3,0.366256496421299,0.11960252458771678,0.01766895882640314,8,17
weighted,71,-0.052384077054524,0.15547977669190305,10,0,0.0,0.14288899890152887,0.022348806129826353,8,17
weighted,72,-0.03593066004021331,0.14999245752916537,10,0,0.0,0.10769662434305029,0.014346267270685574,8,17
weighted,73,-0.049394229316602124,0.14276369492709598,10,0,0.0,0.13047067138294113,0.018998885207976973,8,17
weighted,74,-0.05327156618497846,0.13535747127326,10,0,0.0,0.1669801498568259,0.025035512262879644,8,17
weighted,75,-0.0501670362156366,0.12873450438068446,10,2,0.3149971919258987,0.11677862280825443,0.014424043198253848,8,17
weighted,76,-0.044990515491639474,0.12307102927563715,10,1,0.11285808352854743,0.12395349933820242,0.015391067852822916,8,17
weighted,77,-0.03971317837992101,0.11827926537940259,10,1,0.10771343360862597,0.11735129297975823,0.013615675686554207,8,17
weighted,78,-0.042645547692900646,0.1133412224544266,10,0,0.0,0.1308935097515322,0.0159380644371989,8,17
weighted,79,-0.05266897453167861,0.10752613796567283,10,1,0.09269144256119784,0.10960505866701994,0.011174319621052349,8,17
weighted,80,-0.05656722863025487,0.1016125176985433,10,2,0.12985661592201053,0.14493130152170508,0.016504871436462457,8,17
weighted,81,-0.053060872719548735,0.09636141484338451,10,2,0.19204003097525685,0.11165232127449606,0.01034380333410032,8,17
weighted,82,-0.04876132362733776,0.0917754228560967,10,2,0.18675969322765423,0.12785470570171684,0.012190934252044875,8,17
weighted,83,-0.060025704419204136,0.08642861667462219,10,0,0.0,0.14037329481601699,0.013849849520409754,8,17
weighted,84,-0.03749755526995489,0.08324776463039144,10,0,0.0,0.13043527190840085,0.012441388121338753,8,17
weighted,85,-0.06382094406266708,0.07810080258355634,10,0,0.0,0.12679106412097488,0.01081623232868379,8,17
weighted,86,-0.061157909290920014,0.07346744800713124,10,0,0.0,0.12767177830927884,0.010305488676304046,8,17
weighted,87,-0.07103764568856105,0.06842955200441511,10,1,0.05189331433073906,0.1287807848943821,0.009774894643792786,8,17
weighted,88,-0.04496094598284467,0.06542103430349405,10,0,0.0,0.24980321966735872,0.02311817474195128,8,17
weighted,89,-0.03381706551336722,0.06324567631880472,10,1,0.2009850879184092,0.1335294753093431,0.008882260883037727,8,17
weighted,90,-0.019734942010257474,0.06200976202486923,10,0,0.0,0.12975784242859328,0.008805193844965614,8,17
weighted,91,0.011016668680435129,0.06269667985370032,10,0,0.0,0.11873443827401171,0.007947910160653257,8,17
weighted,92,0.027321502240293966,0.06443326233037765,10,1,0.10796102819567628,0.11363987976322462,0.007548526778689584,8,17
weighted,93,0.009133704642454811,0.06502447257742666,10,0,0.0,0.10720834555414042,0.006824316610674219,8,17
weighted,94,0.038976568524110466,0.06760894310504711,10,0,0.0,0.13153139470577468,0.010033108423328219,8,17
weighted,95,0.05212252301982109,0.07122634697634599,10,0,0.0,0.13032814004235624,0.010029080610548701,8,17
weighted,96,0.05553766978614076,0.07529400084343395,10,0,0.0,0.1188041624374678,0.009305747065723697,8,17
weighted,97,0.0456708077237132,0.07881247285356516,10,0,0.0,0.12118297150547741,0.01013575634575017,8,17
weighted,98,0.07336491191686517,0.08481192697506536,10,1,0.20201058240744707,0.1272446674819446,0.011510815668538097,8,17
weighted,99,0.061145861127596735,0.09015965492180347,10,0,0.0,0.11079200080526645,0.009697198169745208,8,17
weighted,100,0.0648781181521436,0.09620296327564855,10,0,0.0,0.1318465022990279,0.014034782686597998,8,17
weighted,1,-0.01833836354052168,0.009818287610914408,10,0,0.0,0.10918922664679737,0.0011371507242789087,9,17
weighted,2,-0.017623291247169864,0.00964677283529169,10,0,0.0,0.11526909084878857,0.0012372131393431772,9,17
weighted,3,-0.009838588882371699,0.009552327569236107,10,0,0.0,0.11419157068683786,0.0011924622045131905,9,17
