"t","mean","lower","upper","variable","date"
123,0.00107654949427085,0.000869158383131304,0.00132121125719524,"Pt","2020-08-31"
124,0.00116125767813709,0.000934546991241382,0.00142576595977888,"Pt","2020-09-01"
125,0.00124929980186006,0.00100273029897367,0.00153176795318556,"Pt","2020-09-02"
126,0.00134280042733483,0.00107072949532353,0.00165189887088766,"Pt","2020-09-03"
127,0.00144451256210879,0.00113572640294444,0.00179557958445751,"Pt","2020-09-04"
128,0.00155761377233107,0.00120210622828698,0.00196664875713631,"Pt","2020-09-05"
129,0.00168581317442017,0.00127523505237455,0.00216711437778751,"Pt","2020-09-06"
130,0.00183170903626416,0.00135709944250841,0.00240259502538412,"Pt","2020-09-07"
131,0.00199542372622217,0.00144751166095982,0.00267503559677747,"Pt","2020-09-08"
132,0.00217603734025648,0.00154914983114036,0.00298206328249981,"Pt","2020-09-09"
133,0.00237121077946169,0.00166689779735216,0.00330529553248113,"Pt","2020-09-10"
134,0.00257697162888549,0.00180613949925888,0.00362478330874674,"Pt","2020-09-11"
135,0.00278906103289511,0.00197203058490481,0.00391681831809901,"Pt","2020-09-12"
136,0.0030034836077559,0.00215784383867066,0.00417806320598814,"Pt","2020-09-13"
137,0.00321514770744598,0.0023539108395415,0.00440635557108762,"Pt","2020-09-14"
138,0.00341746072568499,0.00255823276326119,0.00458523318875601,"Pt","2020-09-15"
139,0.00360276788570299,0.00277508935362161,0.00468845692226089,"Pt","2020-09-16"
140,0.00376735215680655,0.00300584906423574,0.00472625788501709,"Pt","2020-09-17"
141,0.00391164053014933,0.00323726916952596,0.00472433396063622,"Pt","2020-09-18"
142,0.00403633878154024,0.00345065547104779,0.00471310640446427,"Pt","2020-09-19"
143,0.00414178950663847,0.00362890537305818,0.00471371744797019,"Pt","2020-09-20"
144,0.00422842332598001,0.00377180861976107,0.00471776009456891,"Pt","2020-09-21"
145,0.00430118870865314,0.00388929312789752,0.00473391785283032,"Pt","2020-09-22"
146,0.0043686197146226,0.00397583488304369,0.00477899991750375,"Pt","2020-09-23"
147,0.00443975865347563,0.00403084754136671,0.00485851981937745,"Pt","2020-09-24"
148,0.00452383941842171,0.00408559811026723,0.00496196621014015,"Pt","2020-09-25"
149,0.00462960764321682,0.00418268693543961,0.0050785812449029,"Pt","2020-09-26"
150,0.00475768496831597,0.00431340195559986,0.00521472611206251,"Pt","2020-09-27"
151,0.00490423887325003,0.00444186582988306,0.00538431201682884,"Pt","2020-09-28"
152,0.005064577587073,0.00456050996368482,0.00559401269592114,"Pt","2020-09-29"
153,0.0052328371348436,0.00467862403233825,0.00582908196455318,"Pt","2020-09-30"
154,0.00540274840817639,0.00479626252652579,0.00605983046224411,"Pt","2020-10-01"
155,0.00557079621740502,0.0048937477764167,0.00630819083835288,"Pt","2020-10-02"
156,0.00573419446051222,0.00495859969095855,0.0066008377765887,"Pt","2020-10-03"
157,0.00588912565752951,0.00499420230636232,0.006928335194299,"Pt","2020-10-04"
158,0.00603068417498892,0.00501058506601443,0.00724694027639934,"Pt","2020-10-05"
