"round","date","nSamples","nPos","phat","ssw"
7,2020-11-23,10439,65,0.00685807138138996,0.000159858757377696
7,2020-11-24,8843,68,0.00907335055204179,0.000209842717661377
7,2020-11-25,7199,59,0.00890380963799308,0.000249118694455781
7,2020-11-26,6098,39,0.00807529147811754,0.00029539111782982
7,2020-11-27,6098,46,0.00922848564874049,0.000312488514699155
7,2020-11-28,5890,48,0.0105347659416923,0.0003072108951157
7,2020-11-29,4541,55,0.0132291338331702,0.000414188850892645
7,2020-11-30,4180,21,0.00715011655015314,0.000435794730811983
7,2020-12-01,3907,35,0.0102641122063607,0.000459181639877382
7,2020-12-02,3453,22,0.0111289449942382,0.000556259458292253
7,2020-12-03,18,0,0,0.0760663269204347
8,2020-12-30,22,0,0,0.140336741421745
8,2020-12-31,23,0,0,0.251877524454803
8,2021-01-01,92,0,0,0.0182049412724344
8,2021-01-02,196,4,0.0316279581425806,0.0087606098732573
8,2021-01-03,124,1,0.00656922849900475,0.0130964823648786
8,2021-01-04,418,8,0.0223672307401702,0.00414857392291905
8,2021-01-05,1354,28,0.0295082076589392,0.00135376478604196
8,2021-01-06,22614,315,0.0155190054176512,7.87916851246381e-05
8,2021-01-07,21972,278,0.0139816499149641,8.12959936357385e-05
8,2021-01-08,20907,286,0.0154370072153751,8.45974850727011e-05
8,2021-01-09,18648,250,0.0154408568836457,9.78266651910769e-05
8,2021-01-10,12871,185,0.0149841260606084,0.000142074096855548
8,2021-01-11,13574,180,0.0159589777648312,0.000133679862361076
8,2021-01-12,10322,129,0.0143823181398729,0.000172769000733274
8,2021-01-13,7401,97,0.0139950663512348,0.000238430289065194
8,2021-01-14,6763,101,0.0235164007467293,0.000261075014045141
8,2021-01-15,5961,108,0.0190508477633937,0.000300072606558508
8,2021-01-16,5348,73,0.0164495346167494,0.000354457845334843
8,2021-01-17,3183,45,0.015290417006772,0.000601939796953452
8,2021-01-18,4399,53,0.0148803073743372,0.00042029041743755
8,2021-01-19,3641,59,0.0217756821710489,0.000559831668136966
8,2021-01-20,2829,22,0.00908370133406578,0.000632885963255085
8,2021-01-21,2393,23,0.0095899536311734,0.00090431985907537
8,2021-01-22,567,7,0.0133365020419405,0.00322751832228605
9,2021-02-04,209,4,0.0259689663185695,0.00793682157664724
9,2021-02-05,865,5,0.0108100624998887,0.00195720244783772
9,2021-02-06,8698,49,0.0053455695550971,0.000191584853810975
9,2021-02-07,8302,46,0.00588442598485005,0.000200820284430344
9,2021-02-08,11110,20,0.00212656855278269,0.000151361335766076
9,2021-02-09,13975,68,0.00513168498107764,0.00012235650922898
9,2021-02-10,15666,69,0.00579694031359519,0.000110522021533642
