"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t","days","t_approximation","date"
"Rt",1.23154342777778,1.215555,0.225631023657985,0.8285498,1.73229775,1.0060721572746,958.683321556836,19,NA,NA,"2021-09-27"
"Rt",1.25218937444444,1.235635,0.229254270724709,0.846326425,1.74963175,1.00217802578553,999.798812739232,20,NA,NA,"2021-09-28"
"Rt",1.27186488444444,1.25636,0.231543411298586,0.86888595,1.764829,1.00067621173311,1010.97439540876,21,NA,NA,"2021-09-29"
"Rt",1.28836502444444,1.26896,0.231405182358222,0.889963275,1.79127575,0.999485217103173,985.132885899065,22,NA,NA,"2021-09-30"
"Rt",1.29994632666667,1.278335,0.228602198920145,0.92037245,1.821564,0.998672287236376,955.696968669848,23,NA,NA,"2021-10-01"
"Rt",1.30573799111111,1.28349,0.22523728986796,0.925599125,1.829552,0.997715767248524,923.599581774795,24,NA,NA,"2021-10-02"
"Rt",1.30577473888889,1.284075,0.224586771825592,0.93066855,1.803577,0.998971565370409,904.372370019526,25,NA,NA,"2021-10-03"
"Rt",1.30069516333333,1.276225,0.227156602219093,0.91327375,1.79252175,1.00073021376089,924.491686242847,26,NA,NA,"2021-10-04"
"Rt",1.29142133222222,1.273,0.229847080536591,0.905007725,1.79088325,0.999052104953163,982.33975494941,27,NA,NA,"2021-10-05"
"Rt",1.27898303555556,1.25456,0.230891903315613,0.881071225,1.80773125,0.999153139538976,1006.75738804991,28,NA,NA,"2021-10-06"
"Rt",1.26431140222222,1.239755,0.231563086040325,0.86016245,1.7927485,1.00016743701047,1029.51281686578,29,NA,NA,"2021-10-07"
"Rt",1.24795189111111,1.217495,0.232969761085815,0.850232475,1.76688725,0.999567716401914,1016.56754443374,30,NA,NA,"2021-10-08"
"Rt",1.22986657222222,1.19927,0.234602326889067,0.82662745,1.727219,0.999082633768358,968.957538191175,31,NA,NA,"2021-10-09"
"Rt",1.20939603,1.18621,0.235276890517407,0.804133,1.70818775,0.998535722391712,885.980951254254,32,NA,NA,"2021-10-10"
"Rt",1.18535379222222,1.167225,0.234451227478923,0.780177025,1.7155205,0.999555935715411,823.053634812465,33,NA,NA,"2021-10-11"
"Rt",1.15622755111111,1.142835,0.232512921768633,0.755886575,1.6989255,1.00047989541728,738.048746214931,34,NA,NA,"2021-10-12"
"Rt",1.12052490666667,1.095305,0.229046170722185,0.7488838,1.65133075,1.00163445883317,702.125624262682,35,NA,NA,"2021-10-13"
"Rt",1.07732019444444,1.053965,0.221623136493157,0.735485325,1.64220725,1.00266109308879,693.351181001789,36,NA,NA,"2021-10-14"
