"X","t","mean","lower","upper","variable","date"
147,47,-0.0304817737592815,-0.0559684475900613,-0.00654976821652226,"rt","2021-10-25"
148,48,-0.033980015424962,-0.0618807514208696,-0.00902035442504733,"rt","2021-10-26"
149,49,-0.0356599373611057,-0.0643826170747272,-0.0109145244798528,"rt","2021-10-27"
150,50,-0.0355170303520312,-0.0610680470396969,-0.0119714002727583,"rt","2021-10-28"
151,51,-0.0335816494801415,-0.0559957212103163,-0.0123358540416935,"rt","2021-10-29"
152,52,-0.0306374010786955,-0.0521423233911702,-0.0100508860058868,"rt","2021-10-30"
153,53,-0.027469835642898,-0.0506803232361329,-0.00600965055315629,"rt","2021-10-31"
154,54,-0.0241133081020554,-0.0476313444529195,-0.000254604287046606,"rt","2021-11-01"
155,55,-0.0205680728089748,-0.0441574137235678,0.00594372180176021,"rt","2021-11-02"
156,56,-0.0168492790761867,-0.0422499558303041,0.014522868775559,"rt","2021-11-03"
157,57,-0.0132248901042314,-0.0426357467116363,0.0229701240477457,"rt","2021-11-04"
158,58,-0.00992957174660547,-0.0424508161534946,0.0294728621796199,"rt","2021-11-05"
159,59,-0.00697095891833858,-0.0394799236413249,0.0318421932935328,"rt","2021-11-06"
160,60,-0.00434851379527751,-0.036253930585497,0.0331022106253206,"rt","2021-11-07"
161,61,-0.0020616807542918,-0.0312676974620687,0.0339488741860979,"rt","2021-11-08"
162,62,-0.000107245684730968,-0.0271567835038356,0.0328044790765213,"rt","2021-11-09"
163,63,0.00151731545526034,-0.0254284275776729,0.0337620241847642,"rt","2021-11-10"
164,64,0.00281234234434942,-0.0235381699376963,0.0351656276191791,"rt","2021-11-11"
165,65,0.00377814002922922,-0.0207426616365241,0.0331876508669356,"rt","2021-11-12"
166,66,0.00441837899293361,-0.0194817074608078,0.0320315847247802,"rt","2021-11-13"
167,67,0.00477845618537391,-0.0217470682191587,0.0358676339484829,"rt","2021-11-14"
168,68,0.00488939034266062,-0.0214410998439568,0.0365482718303668,"rt","2021-11-15"
169,69,0.00475236239896636,-0.0213172526665714,0.0357187098767534,"rt","2021-11-16"
170,70,0.00436796170385117,-0.0223760630021198,0.0358562471169684,"rt","2021-11-17"
171,71,0.00373928210724602,-0.0236309630388107,0.0359948245548973,"rt","2021-11-18"
172,72,0.00289663111914014,-0.0290328736537612,0.0367145437122317,"rt","2021-11-19"
173,73,0.00185824449832521,-0.0339906375160356,0.0354587810902594,"rt","2021-11-20"
174,74,0.000625004695956558,-0.0368399269023877,0.0324009835145804,"rt","2021-11-21"
175,75,-0.000802418501330371,-0.0373637261581436,0.0293167230980655,"rt","2021-11-22"
176,76,-0.00236829520745717,-0.0386226799316504,0.0266887938930747,"rt","2021-11-23"
177,77,-0.0035897559710056,-0.0399113143541093,0.0246549223653579,"rt","2021-11-24"
178,78,-0.00421772980950104,-0.041105163282332,0.0234481968527557,"rt","2021-11-25"
179,79,-0.00424935309254751,-0.0400920719442825,0.021063960444982,"rt","2021-11-26"
180,80,-0.00368386660243457,-0.0352908717958232,0.0202357644350447,"rt","2021-11-27"
