t,value,iter,variable
92,5000.0,64,nSamples
93,5000.0,64,nSamples
94,5000.0,64,nSamples
95,5000.0,64,nSamples
96,5000.0,64,nSamples
97,5000.0,64,nSamples
98,5000.0,64,nSamples
99,5000.0,64,nSamples
100,5000.0,64,nSamples
1,5000.0,65,nSamples
2,5000.0,65,nSamples
3,5000.0,65,nSamples
4,5000.0,65,nSamples
5,5000.0,65,nSamples
6,5000.0,65,nSamples
7,5000.0,65,nSamples
8,5000.0,65,nSamples
9,5000.0,65,nSamples
10,5000.0,65,nSamples
11,5000.0,65,nSamples
12,5000.0,65,nSamples
13,5000.0,65,nSamples
14,5000.0,65,nSamples
15,5000.0,65,nSamples
16,5000.0,65,nSamples
17,5000.0,65,nSamples
18,5000.0,65,nSamples
19,5000.0,65,nSamples
20,5000.0,65,nSamples
21,5000.0,65,nSamples
22,5000.0,65,nSamples
23,5000.0,65,nSamples
24,5000.0,65,nSamples
25,5000.0,65,nSamples
26,5000.0,65,nSamples
27,5000.0,65,nSamples
28,5000.0,65,nSamples
29,5000.0,65,nSamples
30,5000.0,65,nSamples
31,5000.0,65,nSamples
32,5000.0,65,nSamples
33,5000.0,65,nSamples
34,5000.0,65,nSamples
35,5000.0,65,nSamples
36,5000.0,65,nSamples
37,5000.0,65,nSamples
38,5000.0,65,nSamples
39,5000.0,65,nSamples
40,5000.0,65,nSamples
41,5000.0,65,nSamples
42,5000.0,65,nSamples
43,5000.0,65,nSamples
44,5000.0,65,nSamples
45,5000.0,65,nSamples
46,5000.0,65,nSamples
47,5000.0,65,nSamples
48,5000.0,65,nSamples
49,5000.0,65,nSamples
50,5000.0,65,nSamples
51,5000.0,65,nSamples
52,5000.0,65,nSamples
53,5000.0,65,nSamples
54,5000.0,65,nSamples
55,5000.0,65,nSamples
56,5000.0,65,nSamples
57,5000.0,65,nSamples
58,5000.0,65,nSamples
59,5000.0,65,nSamples
60,5000.0,65,nSamples
61,5000.0,65,nSamples
62,5000.0,65,nSamples
63,5000.0,65,nSamples
64,5000.0,65,nSamples
65,5000.0,65,nSamples
66,5000.0,65,nSamples
67,5000.0,65,nSamples
68,5000.0,65,nSamples
69,5000.0,65,nSamples
70,5000.0,65,nSamples
71,5000.0,65,nSamples
72,5000.0,65,nSamples
73,5000.0,65,nSamples
74,5000.0,65,nSamples
75,5000.0,65,nSamples
76,5000.0,65,nSamples
77,5000.0,65,nSamples
78,5000.0,65,nSamples
79,5000.0,65,nSamples
80,5000.0,65,nSamples
81,5000.0,65,nSamples
82,5000.0,65,nSamples
83,5000.0,65,nSamples
84,5000.0,65,nSamples
85,5000.0,65,nSamples
86,5000.0,65,nSamples
87,5000.0,65,nSamples
88,5000.0,65,nSamples
89,5000.0,65,nSamples
90,5000.0,65,nSamples
91,5000.0,65,nSamples
92,5000.0,65,nSamples
93,5000.0,65,nSamples
94,5000.0,65,nSamples
95,5000.0,65,nSamples
96,5000.0,65,nSamples
97,5000.0,65,nSamples
98,5000.0,65,nSamples
99,5000.0,65,nSamples
100,5000.0,65,nSamples
1,5000.0,66,nSamples
2,5000.0,66,nSamples
3,5000.0,66,nSamples
4,5000.0,66,nSamples
5,5000.0,66,nSamples
6,5000.0,66,nSamples
7,5000.0,66,nSamples
8,5000.0,66,nSamples
9,5000.0,66,nSamples
10,5000.0,66,nSamples
11,5000.0,66,nSamples
12,5000.0,66,nSamples
13,5000.0,66,nSamples
14,5000.0,66,nSamples
15,5000.0,66,nSamples
16,5000.0,66,nSamples
17,5000.0,66,nSamples
18,5000.0,66,nSamples
19,5000.0,66,nSamples
20,5000.0,66,nSamples
21,5000.0,66,nSamples
22,5000.0,66,nSamples
23,5000.0,66,nSamples
24,5000.0,66,nSamples
25,5000.0,66,nSamples
26,5000.0,66,nSamples
27,5000.0,66,nSamples
28,5000.0,66,nSamples
29,5000.0,66,nSamples
30,5000.0,66,nSamples
31,5000.0,66,nSamples
32,5000.0,66,nSamples
33,5000.0,66,nSamples
34,5000.0,66,nSamples
35,5000.0,66,nSamples
36,5000.0,66,nSamples
37,5000.0,66,nSamples
38,5000.0,66,nSamples
39,5000.0,66,nSamples
40,5000.0,66,nSamples
41,5000.0,66,nSamples
42,5000.0,66,nSamples
43,5000.0,66,nSamples
44,5000.0,66,nSamples
45,5000.0,66,nSamples
46,5000.0,66,nSamples
47,5000.0,66,nSamples
48,5000.0,66,nSamples
49,5000.0,66,nSamples
50,5000.0,66,nSamples
51,5000.0,66,nSamples
52,5000.0,66,nSamples
53,5000.0,66,nSamples
54,5000.0,66,nSamples
55,5000.0,66,nSamples
56,5000.0,66,nSamples
57,5000.0,66,nSamples
58,5000.0,66,nSamples
59,5000.0,66,nSamples
60,5000.0,66,nSamples
61,5000.0,66,nSamples
62,5000.0,66,nSamples
63,5000.0,66,nSamples
64,5000.0,66,nSamples
65,5000.0,66,nSamples
66,5000.0,66,nSamples
67,5000.0,66,nSamples
68,5000.0,66,nSamples
69,5000.0,66,nSamples
70,5000.0,66,nSamples
71,5000.0,66,nSamples
72,5000.0,66,nSamples
73,5000.0,66,nSamples
74,5000.0,66,nSamples
75,5000.0,66,nSamples
76,5000.0,66,nSamples
77,5000.0,66,nSamples
78,5000.0,66,nSamples
79,5000.0,66,nSamples
80,5000.0,66,nSamples
81,5000.0,66,nSamples
82,5000.0,66,nSamples
83,5000.0,66,nSamples
84,5000.0,66,nSamples
85,5000.0,66,nSamples
86,5000.0,66,nSamples
87,5000.0,66,nSamples
88,5000.0,66,nSamples
89,5000.0,66,nSamples
90,5000.0,66,nSamples
